County Code,County Description,LEA,School Name --------------------------------,Official School Name --------------------------------,Principal/Director Name Prefix,Principal/Director First Name,Principal/Director Middle Name,Principal/Director Last Name,Principal/Director Name Suffix,Principal/Director Email,Board Chair Name Prefix,Board Chair First Name,Board Chair Middle Name,Board Chair Last Name,Board Chair Name Suffix,Board Chair Email,Address Line1 -------------------,Address Line2,City,State,Zip Code 5,Mailing Address Line1 ---------------,Mailing Address Line2,Mailing City,Mailing State,Mailing Zip Code 5,Phone,Fax,Opening Effective Date,Grade Level Current,Grade Level Approved,Virtual Status
10,Brunswick,10A,Classical Charter Schools of Leland ,Classical Charter Schools of Leland,Mrs,Laurie,-,Benton,-,lbenton@rogerbacon.net,Mr,Robert ,-,Spencer,-,rspencer@charterdayschool.org,7055 Bacon's Way,-,Leland,NC,28451,-,-,-,-,-,910.655.1214,910.655.1549,06/30/2000,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
10,Brunswick,10B,Classical Charter Schools of Southport,Classical Charter Schools of Southport,-,Kaitlin,-,Warren,-,kwarren@rogerbacon.net,-,Robert,Paul,Spencer,-, rpspencer@att.net.,2260 Achievement Ave SE,-,Bolivia,NC,28422,-,-,-,-,-,910.338.4178,910.338.4179,07/01/2014,KG:01:02:03:04:05:06,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
11,Buncombe,11A,Evergreen Community Charter,Evergreen Community Charter,Dr,Susan,C.,Mertz,-,susan.mertz@evergreenccs.org,Ms,Alicia,-,Cole,-,kellansmom06@gmail.com,50 Bell Road,-,Asheville,NC,28805,-,-,-,-,-,828.298.2173,828.298.2269,06/30/1999,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
11,Buncombe,11B,ArtSpace Charter School,ArtSpace Charter School,Dr,Sarena,-,Fuller,-,sarena.fuller@artspacecharter.org,-,Candace,-,Reilly,-,candace.reilly@artspacecharter.org,2030 US Hwy 70,-,Swannanoa,NC,28778,-,-,-,-,-,828.298.2787,828.298.6221,06/30/2001,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
11,Buncombe,11C,IC Imagine ,IC Imagine ,-,Laura ,Jennifer,Townley,-,jennifertownley@icimagine.org,-,Adam,-,Kissel,-,adamkissel@icimagine.org,110 Champion Way,-,Asheville,NC,28806,-,-,-,-,-,828.633.6491,828.633.6494,07/01/2014,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
11,Buncombe,11D,The Franklin School of Innovation,The Franklin School of Innovation,-,Michelle,-,Vruwink,-,mvruwink@theFSI.us,-,Alisa ,-,Hove,-,ahove@thefsi.us,21 Innovation Dr,-,Asheville,NC,28806,-,-,-,-,-,828.318.8143,828.318.8125,07/01/2014,05:06:07:08:09:10:11:12,05:06:07:08:09:10:11:12,NOTVIRTUAL
11,Buncombe,11F,Asheville PEAK Academy,Asheville PEAK Academy,Dr,Sherry,-,Poole,-,sherry.poole@ashevillepeakacademy.org,-,-,-,-,-,-,27 Balm Grove Avenue,-,Asheville,NC,28806,-,-,-,-,-,828.333.5430,-,07/01/2021,KG:01:02,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
11,Buncombe,11K,Francine Delany New School,Francine Delany New School for Children,Ms,Buffy,-,Fowler,-,buffy@fdnsc.net,Ms,Patricia ,-,Waters,-,Patricia@fdnsc.net,119 Brevard Road,-,Asheville,NC,28806,-,-,-,-,-,828.236.9441,828.236.9442,06/30/1997,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
12,Burke,12A,New Dimensions,New Dimensions: A Public Charter School,Dr,David,-,Burleson,-,dburleson@ndschool.org,Mrs,Regina,-,Rhodes,-,rrhodes@ndschool.org,550 Lenoir Road,-,Morganton,NC,28655,-,-,-,-,-,828.437.5753,828.437.2980,06/30/2001,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
13,Cabarrus,13A,Carolina International School,Carolina International School,Dr,Paul,-,Bryant,-,paulbryant@ciscomets.com,Mrs,Kasi,-,Eagle,-,kasi.eagle@gmail.com,9545 Poplar Tent Road,-,Concord,NC,28027,-,-,-,-,-,704.455.3847,704.455.4672,07/01/2004,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
13,Cabarrus,13B,Cabarrus Charter Academy,Cabarrus Charter Academy,Ms,Kim,S.,White,-,kwhite@cabarruscharter.org,Mr,Martin,-,Conway,-,mconway@nccharterfoundation.org,355 Poplar Crossing Dr NW,-,Concord,NC,28027,-,-,-,-,-,704.789.2500,704.789.2501,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
13,Cabarrus,13C,A.C.E. Academy,A.C.E. Academy,-,Laila,-,Minott,-,l.minott@aceacademycharter.org,Mrs,Gwen,-,Abdullah,-,g.abdullah@aceacademycharter.org,7807 Caldwell Road,-,Harrisburg,NC,28075,-,-,-,-,-,704.456.7153,704.626.2655,07/01/2014,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
13,Cabarrus,13D,Concord Lake STEAM Academy,Concord Lake STEAM Academy,Mrs,Kendra,-,Woods,-,KWoods@ConcordLakeAcademy.org,Mr,Martin,-,Conway,-,mconway@nccharterfoundation.org,1911 Concord Lake Road,-,Kannapolis,NC,28083,-,-,-,-,-,704.273.5310,704.273.5326,07/01/2016,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
16,Carteret,16B,Tiller School,Tiller School,Mrs,Kelly,-,Riley,-,executivedirector@tillerschool.org,Mr,Dave,-,Cerino,-,dcerino@tillerschool.org,1950 Live Oak Street,-,Beaufort,NC,28516,-,-,-,-,-,252.728.1995,252.728.3711,06/30/1998,KG:01:02:03:04:05,KG:01:02:03:04:05,NOTVIRTUAL
19,Chatham,19A,Chatham Charter,Chatham Charter,Dr,John,-,Eldridge,-,jeldridge@chathamcharter.org,Mr,Erik,-,Christenbury,-,echristenbury@board.chathamcharter.org,2200 Hamp Stone Rd,-,Siler City,NC,27344,PO Box 245,-,Siler City,NC,27344,919.742.4550,919.742.2518,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
19,Chatham,19B,Woods Charter,Woods Charter,Mr,Cotton,-,Bryan,-,cbryan@woodscharter.org,Ms,Amy,-,Ising,-,aising@woodscharter.org,160 Woodland Grove Ln,-,Chapel Hill,NC,27516,-,-,-,-,-,919.960.8353,919.960.0421,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,SUPPVIRTUAL
19,Chatham,19C,Willow Oak Montessori,Willow Oak Montessori,Ms,Catherine,-,Oudjit,-,coudjit@willowoakmontessori.org,-,Charleen,-,Cody,-,ccody2@willowoakmontessori.org,1476 Andrews Store Road,-,Pittsboro,NC,27312,-,-,-,-,-,919.240.7787,919.869.1790,07/01/2013,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
20,Cherokee,20A,The Learning Center,The Learning Center,-,Stephanie,-,Hopper,-,stephanie@naturallygrownkids.org,Ms,Denise,-,Richards,-,drich2763@gmail.com,945 Conaheeta Street,-,Murphy,NC,28906,-,-,-,-,-,828.835.7240,828.835.9471,06/30/1997,KG:01:02:03:04:05:06:07:08:09,KG:01:02:03:04:05:06:07:08:09,NOTVIRTUAL
23,Cleveland,23A,Pinnacle Classical Academy,Pinnacle Classical Academy,Dr,Shelly,-,Bullard,-,sbullard@pinnacleclassicalacademy.com,Ms,Debbie,-,Clary,-,dclary@pinnacleclassicalacademy.com ,2401 Joes Lake Rd,-,Shelby,NC,28152,-,-,-,-,-,704.740.4040,704.482.5527,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
24,Columbus,24B,Thomas Academy,Thomas Academy,Dr,Cathy,Callihan,Gantz,-,cathy.gantz@thomasacademync.org,Mr,Owen,-,Robinson,-,orobinson814@gmail.com,206-B Rube MCCRAY Circle,-,Lake Waccamaw,NC,28450,PO Box 300,-,Lake Waccamaw,NC,28450,910.646.2237,910.646.5083,07/01/2013,06:07:08:09:10:11:12,06:07:08:09:10:11:12,NOTVIRTUAL
24,Columbus,24N,Classical Charter Schools of Whiteville,Classical Charter Schools of Whiteville,Mrs,Dawn,-,Ivey,-,divey@rogerbacon.net,Mr,Robert,-,Spencer,-,rspencer@charterdayschool.org,35 Bacon's Way,-,Whiteville,NC,28472,-,-,-,-,-,910.641.4042,910.641.9014,07/01/2008,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
26,Cumberland,26B,Alpha Academy,Alpha Academy,Mr,Eugene,-,Slocum,-,ESlocum@alphaacademy.net,Mr,Simon,-,Johnson,-,Sjohnson@kumasi-management.com,8030 Raeford Road,-,Fayetteville,NC,28304,PO Box 26179,-,Fayetteville,NC,28314,910.223.7711,910.678.9011,06/27/2000,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
26,Cumberland,26C,The Capitol Encore Academy,The Capitol Encore Academy,Mr,Gerard,-,Falls,-,gerard.falls@capitolencoreacademy.org,Mrs,Wendy,-,Hustwit,-,wendy.hustwit@gmail.com,126 Hay Street,-,Fayetteville,NC,28301,-,-,-,-,-,910.849.0888,910.491.6786,07/01/2014,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08:09:10:11:12,FACEVIRTUAL
27,Currituck,27A,Water's Edge Village School,Water's Edge Village School,-,Sylvia,-,Wolff,-,wolff@watersedgevillageschool.com,-,Meghan ,-,Agresto,-,corollaeducation@gmail.com,1126 Schoolhouse Lane,-,Corolla,NC,27927,PO Box 215,-,Corolla,NC,27927,252.453.4502,252.453.3154,07/01/2012,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
29,Davidson,29A,Davidson Charter Academy,Davidson Charter Academy,Mrs,Lori,-,James,-,ljames@davidsoncharter.org,Mr,Greg,-,Turlington,-,gturlington.board@davidsoncharter.org,500 Biesecker Rd,-,Lexington,NC,27295,-,-,-,-,-,336.803.7809,336.843.4720,07/01/2018,KG:01:02:03:04:05:06:07,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32A,Maureen Joy Charter School,Maureen Joy Charter School,Mr,Mark,-,Bailey,-,mbailey@joycharter.org,Mrs,Helen,-,Bryant,-,helbrya9@aol.com,107 South Driver Street,-,Durham,NC,27703,-,-,-,-,-,919.908.1600,919.402.4263,06/30/1997,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32B,Healthy Start Academy,Healthy Start Academy,Mr,Alex,-,Quigley,-,aquigley@healthystartacademy.org,Mrs,Elizabeth,Gnatek,Morey,-,liz@morey.com,807 West Chapel Hill Street,-,Durham,NC,27701,-,-,-,-,-,919.956.5599,919.688.9027,06/30/1997,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32C,Community School of Digital & Visual Art,Community School of Digital and Visual Arts ,Ms,LaManda,-,Pryor,-,Lpryor@carterschool.org,Mr,Joe,-,Battle ,-,joebnc@gmail.com,1955 West Cornwallis Road,-,Durham,NC,27705,-,-,-,-,-,919.797.2340,919.797.2343,06/30/1998,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32D,Kestrel Heights School,Kestrel Heights School,Ms,Tonya,-,Jackson,-,jackson@kestrelheights.org,Mrs,Adrienne,-,Davis,-,AdrienneDavis@Kestrelheights.org,4700 South Alston Ave.,-,Durham,NC,27713,-,-,-,-,-,919.484.1300,919.484.1355,06/30/1998,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,SUPPVIRTUAL
32,Durham,32H,Research Triangle Charter,Research Triangle Charter Academy,Mrs,Melanie,Butler,Stack,-,40.mstack2@nhaschools.com,-,Elizabeth,-,Gnatek-Morey,-,Liz@morey.com,2418 Ellis Road,-,Durham,NC,27703,-,-,-,-,-,919.957.7108,919.287.2216,06/30/1999,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32K,Central Park School For Child,Central Park School for Children,Mr,John,-,Heffernan,-,john@cpsfc.org,Ms,Marcia,-,Brooks,-,lacsmarcia@gmail.com,724 Foster Street,-,Durham,NC,27701,-,-,-,-,-,919.682.1200,919.680.6381,06/30/2003,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32L,Voyager Academy,Voyager Academy,-,Ellie,-,Schollmeyer,-,eschollmeyer@voyageracademy.net,-,Marlee,-,Krieger,-,marlee.krieger@voyageracademy.net,101 Hock Parc Drive,-,Durham,NC,27704,101 Hock Parc Drive,-,Durham,NC,27704,919.433.3301,919.433.3305,07/02/2007,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
32,Durham,32M,Global Scholars Academy,Global Scholars Academy,Dr,Trixie,-,Brooks ,-,tbrooks@globalscholarsacademy.org,Dr,James ,H,Johnson,Jr,JohnsonJ@kenan-flagler.unc.edu ,311 Dowd St,-,Durham,NC,27701,-,-,-,-,-,919.682.5903,919.956.8535,07/01/2011,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32N,Research Triangle High School,Research Triangle High School,-,Eric,Adam,Grunden,-,egrunden@rthighschool.org,-,Sondra,-,Rivers-Kobler,-,srkobler@gmail.com,3106 East NC Highway 54,-,Durham,NC,27709,PO Box 13453,-,Research Triangle Pk,NC,27709,919.998.6757,919.998.3402,07/01/2012,09:10:11:12,09:10:11:12,SUPPVIRTUAL
32,Durham,32P,The Institute Development Young Leaders,The Institute for the Development of Young Leaders,Mrs,Yvette,-,Munroe,-,yvette.munroe@theidylschool.org,Dr,Christopher,-,Edwards,-,christopher.edwards@ncrr.com,4300 S. Miami Blvd.,-,Durham,NC,27703,-,-,-,-,-,919.308.9731,919..,07/01/2013,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32Q,Reaching All Minds Academy,Reaching All Minds Academy,Mr,Thomas ,C.,Mckoy,-,tmckoy@reachingallminds.com,Mrs,Annie ,-,Mckoy,-,amckoy@reachingallminds.com,2703 Holloway St.,-,Durham,NC,27703,-,-,-,-,-,919.596.1899,919.882.8339,07/01/2014,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
32,Durham,32R,Excelsior Classical Academy,Excelsior Classical Academy CFA,-,Cynthia,R,Gadol,-,cynthia.gadol@excelsiorca.org,-,Scott,-,Sipe,-,scott.sipe@excelsiorca.org,4100 N Roxboro Street,-,Durham,NC,27704,-,-,-,-,-,919.213.8585,984.219.2610,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
32,Durham,32S,KIPP Durham College Preparatory,KIPP Durham College Preparatory,-,Tim,-,Saintsing,-,durhamadmin@kippnc.org,Mr,Dinesh,-,Chopra,-,boardchair@kippnc.org,1107 Holloway Street,-,Durham,NC,27701,-,-,-,-,-,919.973.0285,919.973.0692,07/01/2015,05:06:07:08,05:06:07:08,NOTVIRTUAL
32,Durham,32T,Discovery Charter,Discovery Charter School,-,Toni,-,Shellady,-,tshellady@discoverycharterdurham.org,-,Carl ,-,Forsyth,-,cforsyth@discoverycharterdurham.org,501 Orange Factory Road,-,Bahama,NC,27503,PO Box 72117,-,Durham,NC,27722,984.888.5504,984.888.5278,07/01/2019,6:07:08,6:07:08,NOTVIRTUAL
33,Edgecombe,33A,North East Carolina Prep,North East Carolina Preparatory,Mr,William,Joseph,Etheridge,-,etheridgewj@necprepschool.com ,Mr,Anne,-,Mann,-,manna@necprepschool.com,274 Husky Trail,-,Tarboro,NC,27886,-,-,-,-,-,252.641.0464,252.641.1816,07/01/2012,PK:KG:01:02:03:04:05:06:07:08:09:10:11:12,PK:KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
34,Forsyth,34B,Quality Education Academy,Quality Education Academy,-,Tonya,-,Bellanger,-,qualityeducation@qeschools.org,Mr,Jefferson,R,Caruthers,Jr,jcaruthers@qeschools.org,5012-D Lansing Drive,-,Winston-Salem,NC,27105,5012-D Lansing Drive,-,Winston-Salem,NC,27105,336.744.0804,336.666.2322,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,SUPPVIRTUAL
34,Forsyth,34D,Carter G. Woodson School,Carter G. Woodson School,Mr,Benjamin,-,Harris,-,bharris@cartergwoodsonschool.org,Ms,Arianna,-,Vargas,-,arivargas97@yahoo.com,437 Goldfloss Street,-,Winston-Salem,NC,27127,-,-,-,-,-,336.723.6838,336.723.6425,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:10:11:12,NOTVIRTUAL
34,Forsyth,34F,Forsyth Academy,Forsyth Academy,Mrs,Wendy,-,Barajas,-,25.wbarajas@nhaschools.com,Dr,Derrick,-,Boone,-,booneds@wfu.edu,5426 Shattalon Drive,-,Winston-Salem,NC,27106,-,-,-,-,-,336.922.1121,336.922.1033,06/30/1999,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
34,Forsyth,34G,The Arts Based School,The Arts Based School,Ms,Robin,M,Hollis,-,rhollis@artsbasedschool.com,-,Dara,-,Silver,-,dara_silver@hotmail.com ,1380 Martin Luther King Jr Dr,-,Winston-Salem,NC,27101,-,-,-,-,-,336.748.4116,336.748.4117,06/30/2002,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
34,Forsyth,34H,NC Leadership Charter Academy,NC Leadership Charter Academy,Mrs,Renee,H,Faenza,-,rfaenza@thencla.org,-,James ,-,Davis,-,jdavis@thencla.org,4353 High Point Rd,-,Kernersville,NC,27284,-,-,-,-,-,336.992.2710,336.769.2254,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
35,Franklin,35A,Crosscreek Charter School,Crosscreek Charter School,Ms,Robin,H,Jackson,-,rjackson@crosscreekcharterschool.com,Mr,Mike,-,Senter,-,ccsboard@crosscreekcharterschool.com,100 East River Road,-,Louisburg,NC,27549,-,-,-,-,-,919.497.3198,844.744.8645,06/30/2001,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
35,Franklin,35B,Youngsville Academy,Youngsville Academy,Mr,Larry,D,Henson,-,larry.henson@youngsvilleacademy.org,Mr,John,R,Allen,-,john.allen@youngsvilleacademy.org,2045 Hicks Rd,-,Youngsville,NC,27596,2045 Hicks Rd,-,Youngsville,NC,27596,984.235.4620,984.235.7835,07/01/2015,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
36,Gaston,36B,Piedmont Community Charter School,Piedmont Community Charter School,Mrs,Jennifer,Holt,Killen,-,jennifer.killen@pccharter.org,Mr,Alex ,-,Poole,-,alex.poole@pccharter.org,119 E. 2nd Avenue,-,Gastonia,NC,28052,PO Box 3706,-,Gastonia,NC,28054,704.853.2428,704.854.3067,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,SUPPVIRTUAL
36,Gaston,36C,Mountain Island Charter School,Mountain Island Charter School Inc,Mr,Ronald,-,Byrum,-,gbyrum@micharter.org,Mr,Kevin,-,Wiley,-,kwiley@micharter.org,13440 Lucia Riverbend Highway,-,Mt. Holly,NC,28120,-,-,-,-,-,704.827.8840,704.827.8675,07/01/2010,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
36,Gaston,36F,Ridgeview Charter School,Ridgeview Charter School,-,Reshall ,-,Williams,-,rcsprincipal@ridgeviewcharter.org,-,Shezarrah ,-,Keane,-,shezkeane@gmail.com,207 W. Bradley St.,-,Gastonia,NC,28052,-,-,-,-,-,704.867.6635,-,07/01/2019,KG:01:02:03:04:05:06,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
36,Gaston,36G,Community Public Charter,Community Public Charter,Mrs,Sherry,N,Reynolds,-,sreynolds@cpcsnc.org,Mr,Eddie,-,McGinnis,-,emcginnis@cpcsnc.org,400 Ralph Handsel Blvd.,-,Stanley,NC,28164,-,-,-,-,-,704.931.4418,704.931.4188,07/01/2019,KG:01:02:03:04:05:06:07,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
39,Granville,39A,Falls Lake Academy,Falls Lake Academy,Ms,Amy,-,Hobgood,-,amyhobgood@fallslakeacademy.com,Mrs,Samantha,-,Dale,-,samanthadale@fallslakeacademy.com,1701 East Lyon Station Road,-,Creedmoor,NC,27522,-,-,-,-,-,919.964.9003,919.964.9008,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
39,Granville,39B,Oxford Preparatory,Oxford Preparatory School,-,Andrew,-,Swanner,-,swannerab@oxfordprep.org,-,Randy,-,Reese,-,Randy.Reese@truist.com ,6041 Landis Rd,-,Oxford,NC,27565,-,-,-,-,-,919.690.0360,919.690.0230,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
41,Guilford,41B,Greensboro Academy,Greensboro Academy,Mrs,Tracey ,-,Duhaime,-,20.tduhaime@nhaschools.com,Mr,Robert ,-,Gray,-,gray10@aol.com,4049 Battleground Ave,-,Greensboro,NC,27410,-,-,-,-,-,336.286.8404,336.464.2753,06/30/1999,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
